"Type","Issue Creator","Assignee (Grant Liaison)","Task Link","Linked Proposal?","Proposal Link"
"Task","guni7","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/38","No",""
"Task & Proposal","cyl19970726","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/32","Yes","https://github.com/privacy-scaling-explorations/acceleration-program/issues/35"
"Task & Proposal","NOOMA-42","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/27","Yes","https://github.com/privacy-scaling-explorations/acceleration-program/issues/28"
"Task","NOOMA-42","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/24","No",""
"Task & Proposal","NOOMA-42","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/23","Yes","https://github.com/privacy-scaling-explorations/acceleration-program/issues/34"
"Task","NOOMA-42","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/20","No",""
"Task","NOOMA-42","NOOMA-42","https://github.com/privacy-scaling-explorations/acceleration-program/issues/19","No",""
"Task","NOOMA-42","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/18","No",""
"Task","NOOMA-42","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/14","No",""
"Task","NOOMA-42","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/12","No",""
"Task & Proposal","NOOMA-42","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/11","Yes","https://github.com/privacy-scaling-explorations/acceleration-program/issues/43"
"Task","NOOMA-42","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/10","No",""
"Task & Proposal","NOOMA-42","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/9","Yes","https://github.com/privacy-scaling-explorations/acceleration-program/issues/26"
"Task","NOOMA-42","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/7","No",""
"Task & Proposal","NOOMA-42","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/6","Yes","https://github.com/privacy-scaling-explorations/acceleration-program/issues/42"
"Task & Proposal","NOOMA-42","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/5","Yes","https://github.com/privacy-scaling-explorations/acceleration-program/issues/15"
"Task","tkmct","","https://github.com/privacy-scaling-explorations/acceleration-program/issues/4","No",""
